Секція,ID,Кейс,Кроки,Очікувано,Статус,Нотатки
Smoke (швидкий прогін),S01,Сплеш → онбординг (чистий інсталл),"Видалити апку, відкрити","Сплеш ~1.6 с, далі Welcome",,
Smoke (швидкий прогін),S02,Сплеш → Home (returning),"Онбординг уже пройдено, відкрити апку","Сплеш, далі 5 табів, Home",,
Smoke (швидкий прогін),S03,Онбординг до кінця,Welcome → усі кроки → Continue на плані,Головний екран з кільцями і щоденником,,
Smoke (швидкий прогін),S04,Таби,Поклацати всі 5 табів,"Home, Progress, AI, Recipes, Rewards. Немає крашу",,
Smoke (швидкий прогін),S05,Quick Log → Search,Home `+` → Search → знайти продукт → тап,"Їжа в Snacks, кільця оновились",,
Smoke (швидкий прогін),S06,Баркод (живий скан або manual),`+` → Barcode → скан або Enter manually,Product details → Add → запис у щоденнику,,
Smoke (швидкий прогін),S07,AI фото,`+` → Scan food → фото страви → Add,"Результат з ккал, запис у Snacks",,
Smoke (швидкий прогін),S08,Голос,`+` → Voice → записати «яблуко» → Analyze → Add,"Результат, запис у щоденнику",,
Smoke (швидкий прогін),S09,Edit meal,Олівець на Breakfast → змінити порцію / видалити / Save,Home показує оновлену страву,,
Smoke (швидкий прогін),S10,Вода +/− і обʼєм склянки,"`+` вода, `−` вода, олівець → 250 → Save",Склянки і лічильник збігаються,,
Smoke (швидкий прогін),S11,AI чат,AI таб → intro (якщо вперше) → чіпа Nutrition,"Відповідь асистента, немає крашу",,
Smoke (швидкий прогін),S12,Вага,Progress → Log weight → Save,Повернення на Progress без помилки,,
Smoke (швидкий прогін),S13,Тренування,Progress → Log exercise → Save,"Повернення без помилки, burn-кільце на Home може зрости",,
Smoke (швидкий прогін),S14,Rewards,"Відкрити Rewards, тапнути бейдж","Список 12 бейджів, деталь відкривається",,
Smoke (швидкий прогін),S15,Kill & restore,"Залогувати їжу, вбити апку, відкрити знову",Дані на місці,,
Smoke (швидкий прогін),S16,Dark / Light,Змінити тему системи на Home і Welcome,"Кольори читабельні, немає білого на білому",,
