Розділ,№,Де відкрити,Що зробити,Що маєш побачити,Вийшло?,Якщо ні — коротко що сталось
0. Швидка перевірка — зроби це першою,1,Іконка додатку. Якщо додаток уже стоїть — спочатку видали його і постав знову.,Відкрий додаток.,"Спочатку на 1–2 секунди з’являється екран з авокадо, потім екран «Вітаємо в Bity» (не Головна).",,
0. Швидка перевірка — зроби це першою,2,Іконка додатку (перше налаштування вже пройдене).,Відкрий додаток.,"Спочатку екран з авокадо, потім одразу Головна з п’ятьма кнопками внизу.",,
0. Швидка перевірка — зроби це першою,3,Екран «Вітаємо в Bity».,"Натискай «Почати» / «Далі» на кожному екрані, заповни стать, вік, зріст, вагу, активність. На екрані плану натисни «Далі».",Відкривається Головна: кружечки калорій зверху і щоденник зі сніданком / обідом / вечерею.,,
0. Швидка перевірка — зроби це першою,4,"Головна, нижній ряд кнопок.","По черзі натисни всі 5 кнопок внизу: Головна, Рецепти, Bity AI, Прогрес, Нагороди.",Кожна вкладка відкривається. Додаток ніде не вилітає і не зависає.,,
0. Швидка перевірка — зроби це першою,5,Головна.,Натисни «+» біля щоденника → «Пошук». Знайди будь-який продукт (наприклад «яблуко») і натисни на нього. Додай в щоденник.,Страва з’явилась у Перекусах. Цифри на кружечках зверху змінилися.,,
0. Швидка перевірка — зроби це першою,6,Головна.,Натисни «+» → «Сканувати штрихкод». Наведи камеру на штрихкод пачки або натисни «Введіть штрихкод» і введи цифри. Потім «Додати».,"Відкривається картка продукту з калоріями, після «Додати» страва є в щоденнику.",,
0. Швидка перевірка — зроби це першою,7,Головна.,"Натисни «+» → «Сканувати їжу». Зроби фото страви, дочекайся результату, натисни «Додати».","Є результат з калоріями, страва з’явилась у Перекусах.",,
0. Швидка перевірка — зроби це першою,8,Головна.,"Натисни «+» → «Голосовий запис». Скажи «яблуко», натисни «Аналізувати», потім «Додати».","Є результат розпізнавання, страва з’явилась у щоденнику.",,
0. Швидка перевірка — зроби це першою,9,"Головна, блок Сніданок (спочатку додай туди будь-яку страву).",Натисни олівець біля Сніданку. Зміни порцію або видали рядок. Натисни «Зберегти».,На Головній сніданок оновився (інша кількість або страва зникла).,,
0. Швидка перевірка — зроби це першою,10,"Головна, блок «Вода».","Натисни + біля води, потім мінус. Натисни олівець біля склянки, постав 250, «Зберегти».",Скільки склянок намальовано — стільки ж показує лічильник мл.,,
0. Швидка перевірка — зроби це першою,11,Нижня кнопка «Bity AI».,Якщо побачиш великий екран «Почнімо» — натисни його. Потім натисни одну з підказок про харчування.,Помічник відповів текстом. Додаток не вилетів.,,
0. Швидка перевірка — зроби це першою,12,Нижня кнопка «Прогрес».,"Натисни записати вагу, постав число, «Зберегти».",Повертаєшся на Прогрес без червоної помилки.,,
0. Швидка перевірка — зроби це першою,13,Нижня кнопка «Прогрес».,"Натисни записати тренування, заповни і «Зберегти».",Повертаєшся без помилки. На Головній кружечок тренувань може трохи вирости.,,
0. Швидка перевірка — зроби це першою,14,Нижня кнопка «Нагороди».,Відкрий список і натисни будь-який значок.,Видно 12 значків. Після натискання відкривається картка з деталями.,,
0. Швидка перевірка — зроби це першою,15,Головна (спочатку додай будь-яку їжу).,Повністю закрий додаток: знизу вгору відкрий перелік програм і змахни картку вгору. Відкрий додаток знову.,"Їжа, яку записувала, на місці.",,
